REPO_PATH: code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/medications/diabetes/non_insulin_dm_meds_dmd.csv
FILE_NAME: non_insulin_dm_meds_dmd.csv

CONTENT_START
dmd_code,term,drug_class_1,drug_class_2,drug_substance_1,drug_substance_2
774404008,Acarbose,Acarbose,NA,Acarbose,NA
776713006,Metformin,MFN,NA,Metformin,NA
776716003,Rosiglitazone + Metformin,MFN,TZD,Metformin,Rosiglitazone
776112007,Glipizide,SU,NA,Glipizide,NA
776108001,Gliclazide,SU,NA,Gliclazide,NA
775217001,Chlorpropamide,SU,NA,Chlorpropamide,NA
777798008,Tolbutamide,SU,NA,Tolbutamide,NA
776109009,Glimepiride,SU,NA,Glimepiride,NA
776114008,Gliquidone,SU,NA,Gliquidone,NA
777469008,Rosiglitazone,TZD,NA,Rosiglitazone,NA
777419000,Repaglinide,Glinide,NA,Repaglinide,NA
776878002,Nateglinide,Glinide,NA,Nateglinide,NA
777205002,Pioglitazone,TZD,NA,Pioglitazone,NA
776105003,Glibenclamide,SU,NA,Glibenclamide,NA
776714000,Pioglitazone + Metformin,MFN,TZD,Metformin,Pioglitazone
777541003,Sitagliptin,DPP4,NA,Sitagliptin,NA
775913009,Exenatide,GLP1,NA,Exenatide,NA
1172786009,Vildagliptin + Metformin,MFN,DPP4,Metformin,Vildagliptin
777934001,Vildagliptin,DPP4,NA,Vildagliptin,NA
776548002,Liraglutide,GLP1,NA,Liraglutide,NA
777501007,Saxagliptin,DPP4,NA,Saxagliptin,NA
776717007,Sitagliptin + Metformin,MFN,DPP4,Metformin,Sitagliptin
776541008,Linagliptin,DPP4,NA,Linagliptin,NA
776542001,Linagliptin + Metformin,DPP4,MFN,Linagliptin,Metformin
775447002,Dapagliflozin,SGLT2,NA,Dapagliflozin,NA
784227008,Saxagliptin + Metformin,MFN,DPP4,Metformin,Saxagliptin
776560001,Lixisenatide,GLP1,NA,Lixisenatide,NA
774490009,Alogliptin,DPP4,NA,Alogliptin,NA
1208565007,Alogliptin + Metformin,DPP4,MFN,Alogliptin,Metformin
1303102000,Dapagliflozin + Metformin,SGLT2,MFN,Dapagliflozin,Metformin
775025005,Canagliflozin,SGLT2,NA,Canagliflozin,NA
775752008,Empagliflozin,SGLT2,NA,Empagliflozin,NA
775026006,Canagliflozin + Metformin,SGLT2,MFN,Canagliflozin,Metformin
776341007,Insulin degludec + Liraglutide,GLP1,NA,Liraglutide,NA
775712006,Dulaglutide,GLP1,NA,Dulaglutide,NA
775754009,Empagliflozin + Metformin,SGLT2,MFN,Empagliflozin,Metformin
774449006,Albiglutide,GLP1,NA,Albiglutide,NA
777796007,Tolazamide,SU,NA,Tolazamide,NA
1303123006,Saxagliptin + Dapagliflozin,SGLT2,DPP4,Dapagliflozin,Saxagliptin
775821002,Ertugliflozin,SGLT2,NA,Ertugliflozin,NA
36630811000001108,Insulin glargine + Lixisenatide,GLP1,NA,Lixisenatide,NA
775753003,Empagliflozin + Linagliptin,SGLT2,DPP4,Empagliflozin,Linagliptin
41145911000001106,Tirzepatide,GIPGLP1,NA,Tirzepatide,NA
1007311000001103,Repaglinide 2mg tablets 90 tablet (product),Glinide,NA,Repaglinide,NA
1011011000001108,Pioglitazone 15mg tablets 28 tablet (product),TZD,NA,Pioglitazone,NA
10120501000001103,METFORMIN HYDROCHLORIDE 1000mg m/r tablets (product),MFN,NA,Metformin,NA
1012711000001103,Metformin 850mg tablets 56 tablet (product),MFN,NA,Metformin,NA
10154911000001102,Glimepiride 1mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155011000001102,Glimepiride 1mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155111000001101,Glimepiride 2mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155211000001107,Glimepiride 2mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155311000001104,Glimepiride 3mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155411000001106,Glimepiride 3mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10155511000001105,Glimepiride 4mg tablets (Alpharma Ltd) (product),SU,NA,Glimepiride,NA
10155611000001109,Glimepiride 4mg tablets (Alpharma Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
10162311000001102,Metformin 500mg tablets (Viatris UK Healthcare Ltd) 28 tablet 2 x 14 tablets,MFN,NA,Metformin,NA
10272611000001100,Glimepiride 1mg tablets (Unichem Plc) (product),SU,NA,Glimepiride,NA
10272711000001109,Glimepiride 1mg tablets (Unichem Plc) 30 tablet (product),SU,NA,Glimepiride,NA
10272911000001106,Glimepiride 4mg tablets (Unichem Plc) (product),SU,NA,Glimepiride,NA
10273011000001103,Glimepiride 4mg tablets (Unichem Plc) 30 tablet (product),SU,NA,Glimepiride,NA
10273811000001109,Glimepiride 1mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10273911000001104,Glimepiride 1mg tablets (A A H Pharmaceuticals Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10274011000001101,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274111000001100,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd) 30 tablet,SU,NA,Glimepiride,NA
10274311000001103,Glimepiride 3mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274411000001105,Glimepiride 3mg tablets (A A H Pharmaceuticals Ltd) 30 tablet,SU,NA,Glimepiride,NA
10274511000001109,Glimepiride 4mg tablets (A A H Pharmaceuticals Ltd) (product),SU,NA,Glimepiride,NA
10274611000001108,Glimepiride 4mg tablets (A A H Pharmaceuticals Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10292611000001107,Metformin 500mg tablets (Relonchem Ltd) (product),MFN,NA,Metformin,NA
10293111000001105,Metformin 500mg tablets (Relonchem Ltd) 28 tablet (product),MFN,NA,Metformin,NA
10293211000001104,Metformin 500mg tablets (Relonchem Ltd) 500 tablet (product),MFN,NA,Metformin,NA
10293511000001101,Metformin 850mg tablets (Relonchem Ltd) (product),MFN,NA,Metformin,NA
10293811000001103,Metformin 850mg tablets (Relonchem Ltd) 56 tablet (product),MFN,NA,Metformin,NA
10294111000001107,Metformin 850mg tablets (Relonchem Ltd) 300 tablet (product),MFN,NA,Metformin,NA
10377311000001104,Glibenclamide 2.5mg tablets (Arrow Generics Ltd) (product),SU,NA,Glibenclamide,NA
10377511000001105,Glibenclamide 2.5mg tablets (Arrow Generics Ltd) 28 tablet (product),SU,NA,Glibenclamide,NA
10377711000001100,Glibenclamide 5mg tablets (Arrow Generics Ltd) (product),SU,NA,Glibenclamide,NA
10378011000001101,Glibenclamide 5mg tablets (Arrow Generics Ltd) 28 tablet (product),SU,NA,Glibenclamide,NA
10378111000001100,Gliclazide 80mg tablets (Arrow Generics Ltd) (product),SU,NA,Gliclazide,NA
10378311000001103,Gliclazide 80mg tablets (Arrow Generics Ltd) 60 tablet (product),SU,NA,Gliclazide,NA
10380601000001101,LIRAGLUTIDE,GLP1,NA,Liraglutide,NA
10380801000001102,LIRAGLUTIDE 6mg/mL solution for injection prefilled pen,GLP1,NA,Liraglutide,NA
10380901000001108,SAXAGLIPTIN,DPP4,NA,Saxagliptin,NA
10381101000001103,SAXAGLIPTIN 5mg tablets,DPP4,NA,Saxagliptin,NA
1038511000001100,Glipizide 5mg tablets 28 tablet (product),SU,NA,Glipizide,NA
10390211000001102,Metformin 500mg tablets (Arrow Generics Ltd) (product),MFN,NA,Metformin,NA
10390311000001105,Metformin 500mg tablets (Arrow Generics Ltd) 28 tablet (product),MFN,NA,Metformin,NA
10390511000001104,Metformin 500mg tablets (Arrow Generics Ltd) 84 tablet (product),MFN,NA,Metformin,NA
10390611000001100,Metformin 500mg tablets (Arrow Generics Ltd) 500 tablet (product),MFN,NA,Metformin,NA
10390811000001101,Metformin 850mg tablets (Arrow Generics Ltd) (product),MFN,NA,Metformin,NA
10391011000001103,Metformin 850mg tablets (Arrow Generics Ltd) 56 tablet (product),MFN,NA,Metformin,NA
10391111000001102,Metformin 850mg tablets (Arrow Generics Ltd) 300 tablet (product),MFN,NA,Metformin,NA
10393301000001101,METFORMIN HYDROCHLORIDE 1000mg/sachet oral powder,MFN,NA,Metformin,NA
10393401000001109,METFORMIN HYDROCHLORIDE 500mg/sachet oral powder,MFN,NA,Metformin,NA
10437311000001105,Glimepiride 4mg tablets (Niche Generics Ltd) (product),SU,NA,Glimepiride,NA
10437411000001103,Glimepiride 4mg tablets (Niche Generics Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10445111000001103,Glimepiride 1mg tablets (Niche Generics Ltd) (product),SU,NA,Glimepiride,NA
10445211000001109,Glimepiride 1mg tablets (Niche Generics Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10445311000001101,Glimepiride 2mg tablets (Niche Generics Ltd) (product),SU,NA,Glimepiride,NA
10445411000001108,Glimepiride 2mg tablets (Niche Generics Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10445511000001107,Glimepiride 3mg tablets (Niche Generics Ltd) (product),SU,NA,Glimepiride,NA
10445611000001106,Glimepiride 3mg tablets (Niche Generics Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10464411000001101,Rosiglitazone 4mg tablets 112 tablet (product),TZD,NA,Rosiglitazone,NA
1047111000001107,Glibenclamide 5mg tablets 1000 tablet (product),SU,NA,Glibenclamide,NA
10482811000001108,Glimepiride 3mg tablets 60 tablet (product),SU,NA,Glimepiride,NA
10508211000001104,Glipizide 5mg tablets 30 tablet (product),SU,NA,Glipizide,NA
10517711000001108,Glimepiride 1mg tablets (Zentiva Pharma UK Ltd),SU,NA,Glimepiride,NA
10517811000001100,Glimepiride 1mg tablets (Zentiva Pharma UK Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10517911000001105,Glimepiride 2mg tablets (Zentiva Pharma UK Ltd),SU,NA,Glimepiride,NA
10518011000001107,Glimepiride 2mg tablets (Zentiva Pharma UK Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10518111000001108,Glimepiride 3mg tablets (Zentiva Pharma UK Ltd),SU,NA,Glimepiride,NA
10518211000001102,Glimepiride 3mg tablets (Zentiva Pharma UK Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10518311000001105,Glimepiride 4mg tablets (Zentiva Pharma UK Ltd),SU,NA,Glimepiride,NA
10518411000001103,Glimepiride 4mg tablets (Zentiva Pharma UK Ltd) 30 tablet 2 x 15 tablets,SU,NA,Glimepiride,NA
10539211000001101,Glimepiride 1mg tablets (PI) (Waymade Ltd) (product),SU,NA,Glimepiride,NA
10539311000001109,Glimepiride 1mg tablets (PI) (Waymade Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10539511000001103,Glimepiride 2mg tablets (PI) (Waymade Ltd) (product),SU,NA,Glimepiride,NA
10539611000001104,Glimepiride 2mg tablets (PI) (Waymade Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10539711000001108,Glimepiride 3mg tablets (PI) (Waymade Ltd) (product),SU,NA,Glimepiride,NA
10539811000001100,Glimepiride 3mg tablets (PI) (Waymade Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10540011000001104,Glimepiride 4mg tablets (PI) (Waymade Ltd) (product),SU,NA,Glimepiride,NA
10540111000001103,Glimepiride 4mg tablets (PI) (Waymade Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10554901000001106,METFORMIN + SITAGLIPTIN,MFN,DPP4,Metformin,Sitagliptin
10555101000001107,SITAGLIPTIN/METFORMIN HYDROCHLORIDE 50mg/1000mg tablets,MFN,DPP4,Metformin,Sitagliptin
10583101000001104,GLICLAZIDE 40mg tablets,SU,NA,Gliclazide,NA
1059111000001103,Gliclazide 80mg tablets 28 tablet (product),SU,NA,Gliclazide,NA
10617311000001102,Glimepiride 1mg tablets (Somex Pharma) (product),SU,NA,Glimepiride,NA
10617411000001109,Glimepiride 1mg tablets (Somex Pharma) 30 tablet (product),SU,NA,Glimepiride,NA
10617511000001108,Glimepiride 2mg tablets (Somex Pharma) (product),SU,NA,Glimepiride,NA
10617611000001107,Glimepiride 2mg tablets (Somex Pharma) 30 tablet (product),SU,NA,Glimepiride,NA
10617811000001106,Glimepiride 3mg tablets (Somex Pharma) (product),SU,NA,Glimepiride,NA
10618011000001104,Glimepiride 3mg tablets (Somex Pharma) 30 tablet (product),SU,NA,Glimepiride,NA
10618111000001103,Glimepiride 4mg tablets (Somex Pharma) (product),SU,NA,Glimepiride,NA
10618311000001101,Glimepiride 4mg tablets (Somex Pharma) 30 tablet (product),SU,NA,Glimepiride,NA
10646011000001105,Metformin 500mg tablets (Teva UK Ltd) 84 tablet 6 x 14 tablets (product),MFN,NA,Metformin,NA
10688811000001107,Glimepiride 1mg tablets (Pliva Pharma Ltd) (product),SU,NA,Glimepiride,NA
10688911000001102,Glimepiride 1mg tablets (Pliva Pharma Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10689011000001106,Glimepiride 2mg tablets (Pliva Pharma Ltd) (product),SU,NA,Glimepiride,NA
10689111000001107,Glimepiride 2mg tablets (Pliva Pharma Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
10689211000001101,Glimepiride 3mg tablets (Pliva Pharma Ltd) (product),SU,NA,Glimepiride,NA
10689311000001109,Glimepiride 3mg tablets (Pliva Pharma Ltd) 30 tablet (product),SU,NA,Glimepiride,NA
1069011000001106,Tolbutamide 500mg tablets 28 tablet (product),SU,NA,Tolbutamide,NA
107311000001107,Glibenclamide 2.5mg tablets (Kent Pharma (UK) Ltd),SU,NA,Glibenclamide,NA
10741511000001104,Metformin 500mg/5ml oral solution sugar free 100 ml (product),MFN,NA,Metformin,NA
10750111000001100,Metformin hydrochloride 100 mg/ml oral solution 5 ml spoonful sugar free,MFN,NA,Metformin,NA
10832711000001103,Metformin 500mg/5ml oral solution sugar free (Unichem Plc) (product),MFN,NA,Metformin,NA
10832811000001106,Metformin 500mg/5ml oral solution sugar free (Unichem Plc) 100 ml (product),MFN,NA,Metformin,NA
10859711000001108,Metformin 500mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets,MFN,NA,Metformin,NA
109074004,Repaglinide,Glinide,NA,Repaglinide,NA
109077006,Acarbose,Acarbose,NA,Acarbose,NA
109079009,Glimepiride,SU,NA,Glimepiride,NA
109081006,Metformin,MFN,NA,Metformin,NA
109085002,Troglitazone,TZD,NA,Troglitazone,NA
10922211000001100,Metformin 850mg / Pioglitazone 15mg tablets 56 tablet (product),MFN,TZD,Metformin,Pioglitazone
10923911000001102,Metformin + Pioglitazone (product),MFN,TZD,Metformin,Pioglitazone
10925511000001108,Metformin 850mg / Pioglitazone 15mg tablets (product),MFN,TZD,Metformin,Pioglitazone
1093811000001104,Glimepiride 3mg tablets 30 tablet (product),SU,NA,Glimepiride,NA
10963611000001104,Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (product),MFN,NA,Metformin,NA
10963711000001108,Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) 100 ml (product),MFN,NA,Metformin,NA
10981611000001101,Gliclazide 30mg modified-release tablets 60 tablet (product),SU,NA,Gliclazide,NA
11018411000001105,Glimepiride 4mg tablets (Dr Reddy's Labs) (product),SU,NA,Glimepiride,NA
11018511000001109,Glimepiride 4mg tablets (Dr Reddy's Labs) 30 tablet (product),SU,NA,Glimepiride,NA
11018611000001108,Glimepiride 3mg tablets (Dr Reddy's Labs) (product),SU,NA,Glimepiride,NA
11018711000001104,Glimepiride 3mg tablets (Dr Reddy's Labs) 30 tablet (product),SU,NA,Glimepiride,NA
11018911000001102,Glimepiride 2mg tablets (Dr Reddy's Labs) (product),SU,NA,Glimepiride,NA
11019011000001106,Glimepiride 2mg tablets (Dr Reddy's Labs) 30 tablet (product),SU,NA,Glimepiride,NA
11019211000001101,Glimepiride 1mg tablets (Dr Reddy's Labs) (product),SU,NA,Glimepiride,NA
11019411000001102,Glimepiride 1mg tablets (Dr Reddy's Labs) 30 tablet (product),SU,NA,Glimepiride,NA
11028901000001106,SAXAGLIPTIN 2.5mg tablets,DPP4,NA,Saxagliptin,NA
11104801000001109,EXENATIDE 2mg powder+solvent for suspension for injection,GLP1,NA,Exenatide,NA
111154004,Chlorpropamide,SU,NA,Chlorpropamide,NA
11149211000001102,Glimepiride 1mg tablets (Teva UK Ltd) (product),SU,NA,Glimepiride,NA
11149311000001105,Glimepiride 1mg tablets (Teva UK Ltd) 30 tablet 2 x 15 tablets (product),SU,NA,Glimepiride,NA
11149411000001103,Glimepiride 2mg tablets (Teva UK Ltd) (product),SU,NA,Glimepiride,NA
11149511000001104,Glimepiride 2mg tablets (Teva UK Ltd) 30 tablet 2 x 15 tablets (product),SU,NA,Glimepiride,NA
11149611000001100,Glimepiride 3mg tablets (Teva UK Ltd) (product),SU,NA,Glimepiride,NA
11149711000001109,Glimepiride 3mg tablets (Teva UK Ltd) 30 tablet 2 x 15 tablets (product),SU,NA,Glimepiride,NA
11149811000001101,Glimepiride 4mg tablets (Teva UK Ltd) (product),SU,NA,Glimepiride,NA
11149911000001106,Glimepiride 4mg tablets (Teva UK Ltd) 30 tablet 2 x 15 tablets (product),SU,NA,Glimepiride,NA
11167201000001104,LINAGLIPTIN,DPP4,NA,Linagliptin,NA
11167401000001100,LINAGLIPTIN 5mg tablets,DPP4,NA,Linagliptin,NA
112571000001105,Saxagliptin 2.5mg tablets,DPP4,NA,Saxagliptin,NA
1126211000001109,Pioglitazone 30mg tablets 28 tablet (product),TZD,NA,Pioglitazone,NA
11342811000001101,Glimepiride 1mg tablets (Sandoz Ltd) (product),SU,NA,Glimepiride,NA
11342911000001106,Glimepiride 1mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
11343211000001108,Glimepiride 2mg tablets (Sandoz Ltd) (product),SU,NA,Glimepiride,NA
11343411000001107,Glimepiride 2mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
11343511000001106,Glimepiride 3mg tablets (Sandoz Ltd) (product),SU,NA,Glimepiride,NA
11343711000001101,Glimepiride 3mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
11344011000001101,Glimepiride 4mg tablets (Sandoz Ltd) (product),SU,NA,Glimepiride,NA
11344111000001100,Glimepiride 4mg tablets (Sandoz Ltd) 30 tablet 3 x 10 tablets (product),SU,NA,Glimepiride,NA
1135711000001107,Rosiglitazone 4mg tablets 56 tablet (product),TZD,NA,Rosiglitazone,NA
11393401000001101,SITAGLIPTIN 25mg tablets,DPP4,NA,Sitagliptin,NA
11393501000001102,SITAGLIPTIN 50mg tablets,DPP4,NA,Sitagliptin,NA
11406411000001102,Gliclazide 80mg tablets (Pliva Pharma Ltd) (product),SU,NA,Gliclazide,NA
11406711000001108,Gliclazide 80mg tablets (Pliva Pharma Ltd) 28 tablet 2 x 14 tablets (product),SU,NA,Gliclazide,NA
11406811000001100,Gliclazide 80mg tablets (Pliva Pharma Ltd) 60 tablet 6 x 10 tablets (product),SU,NA,Gliclazide,NA
11411000001101,Gliclazide 80mg tablets (Kent Pharma (UK) Ltd),SU,NA,Gliclazide,NA
11416911000001108,Sitagliptin (substance),DPP4,NA,Sitagliptin,NA
1144511000001104,Glimepiride 4mg tablets 30 tablet (product),SU,NA,Glimepiride,NA
11473111000001107,Sitagliptin phosphate (substance),DPP4,NA,Sitagliptin,NA
11473511000001103,Sitagliptin 100mg tablets (product),DPP4,NA,Sitagliptin,NA
11473611000001104,Sitagliptin 100mg tablets 28 tablet (product),DPP4,NA,Sitagliptin,NA
11475011000001107,Sitagliptin (product),DPP4,NA,Sitagliptin,NA
11492211000001104,Gliclazide 80mg tablets (Zentiva Pharma UK Ltd),SU,NA,Gliclazide,NA
11492311000001107,Gliclazide 80mg tablets (Zentiva Pharma UK Ltd) 28 tablet 2 x 14 tablets,SU,NA,Gliclazide,NA
11492601000001104,METFORMIN + LINAGLIPTIN,DPP4,MFN,Linagliptin,Metformin
11492801000001100,LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets,DPP4,MFN,Linagliptin,Metformin
11493001000001102,LINAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets,DPP4,MFN,Linagliptin,Metformin
11494111000001102,Exenatide 250 microgram/ml solution for injection 2.4 ml pre-filled disposable injection,GLP1,NA,Exenatide,NA
11494211000001108,Exenatide 250 microgram/ml solution for injection 1.2 ml pre-filled disposable injection,GLP1,NA,Exenatide,NA
11494511000001106,Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices 1 pre-filled disposable injection (product),GLP1,NA,Exenatide,NA
11494711000001101,Exenatide 5micrograms/0.02ml solution for injection 1.2ml pre-filled disposable devices 1 pre-filled disposable injection (product),GLP1,NA,Exenatide,NA
11526911000001106,Gliclazide 80mg tablets (Wockhardt UK Ltd) 28 tablet 2 x 14 tablets (product),SU,NA,Gliclazide,NA
115811000001106,Metformin 850mg tablets (Alpharma Limited) (product),MFN,NA,Metformin,NA
11599311000001107,Metformin 500mg/5ml oral solution sugar free 150 ml (product),MFN,NA,Metformin,NA
11599411000001100,Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) (product),MFN,NA,Metformin,NA
11599511000001101,Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) 150 ml (product),MFN,NA,Metformin,NA
1160711000001109,Repaglinide 500microgram tablets 90 tablet (product),Glinide,NA,Repaglinide,NA
1164911000001101,Metformin 850mg tablets 300 tablet (product),MFN,NA,Metformin,NA
1170611000001108,Glimepiride 2mg tablets 30 tablet (product),SU,NA,Glimepiride,NA
1172511000001105,Glimepiride 1mg tablets 30 tablet (product),SU,NA,Glimepiride,NA
1173511000001103,Glibenclamide 5mg tablets 28 tablet (product),SU,NA,Glibenclamide,NA
11837901000001109,DAPAGLIFLOZIN,SGLT2,NA,Dapagliflozin,NA
11838201000001100,DAPAGLIFLOZIN 5mg tablets,SGLT2,NA,Dapagliflozin,NA
11838301000001109,DAPAGLIFLOZIN 10mg tablets,SGLT2,NA,Dapagliflozin,NA
11838401000001101,METFORMIN + SAXAGLIPTIN,MFN,DPP4,Metformin,Saxagliptin
11838601000001103,SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/850mg tablets,MFN,DPP4,Metformin,Saxagliptin
11838801000001104,SAXAGLIPTIN/METFORMIN HYDROCHLORIDE 2.5mg/1000mg tablets,MFN,DPP4,Metformin,Saxagliptin
11838901000001105,LIXISENATIDE,GLP1,NA,Lixisenatide,NA
11839101000001104,LIXISENATIDE 10micrograms/0.2mL soln for injection pen 3mL,GLP1,NA,Lixisenatide,NA
11839301000001102,LIXISENATIDE 20micrograms/0.2mL soln for injection pen 3mL,GLP1,NA,Lixisenatide,NA
11839501000001109,LIXISENATIDE 10mcg/0.2mL+20mcg/0.2mL soln for inj pens 3mL,GLP1,NA,Lixisenatide,NA
1193711000001103,Rosiglitazone 8mg tablets 28 tablet (product),TZD,NA,Rosiglitazone,NA
11982711000001107,Chlorpropamide 250mg/5ml oral suspension 1 ml (product),SU,NA,Chlorpropamide,NA
11982811000001104,Chlorpropamide 250mg/5ml oral suspension (Special Order) (product),SU,NA,Chlorpropamide,NA
11982911000001109,Chlorpropamide 250mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Chlorpropamide,NA
11999001000001101,GLICLAZIDE 60mg m/r tablets,SU,NA,Gliclazide,NA
12019111000001108,Chlorpropamide 50 mg/ml oral suspension,SU,NA,Chlorpropamide,NA
12037511000001104,Vildagliptin (substance),DPP4,NA,Vildagliptin,NA
120811000001108,Glibenclamide 5mg tablets (C P Pharmaceuticals Ltd) (product),SU,NA,Glibenclamide,NA
12107111000001105,Glibenclamide 625micrograms/5ml oral suspension 1 ml (product),SU,NA,Glibenclamide,NA
12107211000001104,Glibenclamide 625micrograms/5ml oral suspension (Special Order) (product),SU,NA,Glibenclamide,NA
12107311000001107,Glibenclamide 625micrograms/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12107411000001100,Glibenclamide 625micrograms/5ml oral solution 1 ml (product),SU,NA,Glibenclamide,NA
12107511000001101,Glibenclamide 625micrograms/5ml oral solution (Special Order) (product),SU,NA,Glibenclamide,NA
12107611000001102,Glibenclamide 625micrograms/5ml oral solution (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12107711000001106,Glibenclamide 15mg/5ml oral suspension 1 ml (product),SU,NA,Glibenclamide,NA
12107811000001103,Glibenclamide 15mg/5ml oral suspension (Special Order) (product),SU,NA,Glibenclamide,NA
12107911000001108,Glibenclamide 15mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12108011000001105,Glibenclamide 15mg/5ml oral solution 1 ml (product),SU,NA,Glibenclamide,NA
12108111000001106,Glibenclamide 15mg/5ml oral solution (Special Order) (product),SU,NA,Glibenclamide,NA
12108211000001100,Glibenclamide 15mg/5ml oral solution (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12108311000001108,Glibenclamide 2.5mg/5ml oral suspension 1 ml (product),SU,NA,Glibenclamide,NA
12108411000001101,Glibenclamide 2.5mg/5ml oral suspension (Special Order) (product),SU,NA,Glibenclamide,NA
12108511000001102,Glibenclamide 2.5mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12108611000001103,Glibenclamide 2.5mg/5ml oral solution 1 ml (product),SU,NA,Glibenclamide,NA
12108711000001107,Glibenclamide 2.5mg/5ml oral solution (Special Order) (product),SU,NA,Glibenclamide,NA
12108811000001104,Glibenclamide 2.5mg/5ml oral solution (Special Order) 1 ml (product),SU,NA,Glibenclamide,NA
12108911000001109,Gliclazide 100mg/5ml oral suspension 1 ml (product),SU,NA,Gliclazide,NA
12109011000001100,Gliclazide 100mg/5ml oral suspension (Special Order) (product),SU,NA,Gliclazide,NA
12109111000001104,Gliclazide 100mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Gliclazide,NA
12109211000001105,Gliclazide 120mg/5ml oral suspension 1 ml (product),SU,NA,Gliclazide,NA
12109311000001102,Gliclazide 120mg/5ml oral suspension (Special Order) (product),SU,NA,Gliclazide,NA
12109411000001109,Gliclazide 120mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Gliclazide,NA
12109511000001108,Gliclazide 20mg/5ml oral suspension 1 ml (product),SU,NA,Gliclazide,NA
12109611000001107,Gliclazide 20mg/5ml oral suspension (Special Order) (product),SU,NA,Gliclazide,NA
12109711000001103,Gliclazide 20mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Gliclazide,NA
12109811000001106,Gliclazide 50mg/5ml oral suspension 1 ml (product),SU,NA,Gliclazide,NA
12109911000001101,Gliclazide 50mg/5ml oral suspension (Special Order) (product),SU,NA,Gliclazide,NA
12110011000001106,Gliclazide 50mg/5ml oral suspension (Special Order) 1 ml (product),SU,NA,Gliclazide,NA
12110111000001107,Gliclazide 60mg/5ml oral suspension 1 ml (product),SU,NA,Gliclazide,NA
12110211000001101,Gliclazide 60mg/5ml oral suspension (Special Order) (product),SU,NA,Gliclazide,NA
