REPO_PATH: code_lists/conditions/diabetes/all_diabetes_snomed.csv
SITE_URL: https://exeter-diabetes.github.io/sde-sw-framework/code_lists/conditions/diabetes/all_diabetes_snomed.csv/
GITHUB_URL: https://github.com/Exeter-Diabetes/sde-sw-framework/blob/dev/code_lists/conditions/diabetes/all_diabetes_snomed.csv
FILE_NAME: all_diabetes_snomed.csv

CONTENT_START
conceptId,term,category,qof
10995761000119100,History of diabetic foot ulcer (situation),unspecified,0
110141000119100,Ulcer of lower limb due to type 1 diabetes mellitus (disorder),type 1,0
110171000119107,Leg ulcer due to type 2 diabetes mellitus,type 2,0
110181000119105,Peripheral sensory neuropathy due to type 2 diabetes mellitus,type 2,0
1102351000000105,KPDM - ketosis-prone diabetes mellitus,unspecified,0
1103691000000102,Diabetes structured education programme offered,unspecified,0
1103701000000102,Diabetic retinopathy screening offered,unspecified,0
1108731000000100,Referral to online diabetes structured education programme,unspecified,0
1108741000000109,Referral to HeLP-Diabetes (Healthy Living for People with Diabetes) online self-management programme,unspecified,0
1110921000000100,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation,unspecified,0
111231000119109,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus,type 2,0
111552007,Diabetes mellitus without complication,unspecified,1
111553002,Diabetes mellitus associated with unlisted condition,unspecified,0
111556005,Diabetic ketoacidosis without coma,unspecified,0
111557001,Diabetes with coma,unspecified,0
113131000000107,Informed consent for diabetes national audit,unspecified,0
113141000000103,Informed dissent for diabetes national audit,unspecified,0
1144894004,Peripheral autonomic neuropathy due to diabetes mellitus (disorder),unspecified,0
11530004,Brittle diabetes,unspecified,1
116981000000102,Diabetes clinical management plan,unspecified,0
117201000000103,Diabetic foot examination declined,unspecified,0
117211000000101,Diabetic retinopathy screening refused,unspecified,0
117391000000102,Informed consent for diabetes national audit,unspecified,0
117411000000102,Informed dissent for diabetes national audit,unspecified,0
1196922005,Neovascular glaucoma due to type II diabetes mellitus,type 2,1
1196923000,Neovascular glaucoma due to diabetes mellitus type 1,type 1,1
119831000119106,Hypoglycemia unawareness in type 2 diabetes mellitus (disorder),type 2,0
120711000119108,Hypoglycaemic unawareness in type 1 diabetes mellitus,type 1,0
120731000119103,Hypoglycemia due to type 2 diabetes mellitus (disorder),type 2,0
121461000000104,Pan retinal photocoagulation for diabetes,unspecified,0
1217044000,Ketosis-resistant diabetes mellitus,unspecified,1
1217068008,Fulminant type 1 diabetes mellitus (disorder),type 1,1
121721000000103,Diabetes clinical management plan,unspecified,0
1217674007,Neurotrophic keratitis due to diabetes mellitus (disorder),unspecified,1
121941000000107,Diabetic foot examination declined,unspecified,0
121951000000105,Diabetic retinopathy screening refused,unspecified,0
122131000000109,Informed consent for diabetes national audit,unspecified,0
122151000000102,Informed dissent for diabetes national audit,unspecified,0
122481000000101,Fibrocalculous pancreatic diabetes,unspecified,0
122541000000108,Pineal hyperplasia insulin-resistant diabetes mellitus and somatic abnormalities,unspecified,0
1231625008,Tractional retinal detachment due to proliferative diabetic retinopathy (disorder),unspecified,0
1231650006,Combined rhegmatogenous and tractional retinal detachment due to proliferative diabetic retinopathy (disorder),unspecified,0
1231691008,Vitreous hemorrhage due to proliferative diabetic retinopathy (disorder),unspecified,0
1231698002,Tractional retinal detachment with macula involvement due to proliferative diabetic retinopathy,unspecified,0
1251386008,Disorder of skin due to diabetes mellitus,unspecified,0
1258861001,Family attended diabetes structured education programme,unspecified,0
1258862008,Caregiver attended diabetes structured education programme,unspecified,0
1258872006,Family referred to diabetes structured education program (situation),unspecified,0
1258873001,Caregiver referred to diabetes structured education programme,unspecified,0
1259048007,Brachial plexus lesion due to diabetes mellitus,unspecified,0
126534007,Diabetic mixed sensory-motor polyneuropathy,unspecified,0
126535008,Diabetic motor polyneuropathy,unspecified,0
127011001,Diabetic sensory polyneuropathy,unspecified,0
127013003,Diabetic renal disease,unspecified,1
127014009,Diabetic peripheral angiopathy,unspecified,1
127991000119101,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus,type 2,0
128001000119105,Hypertension concurrent and due to end stage renal disease on dialysis due to type 1 diabetes mellitus (disorder),type 1,0
12811000119100,Complication due to diabetes mellitus type 2,type 2,0
1284985006,Diabetes mellitus management program (regime/therapy),unspecified,0
1287705005,Consultation for diabetes mellitus (procedure),unspecified,0
1290118005,Presymptomatic T1DM (type 1 diabetes mellitus),type 1,0
129599004,Large baby of diabetic mother,unspecified,0
1296524002,History of nocturnal hypoglycemia due to diabetes mellitus (situation),unspecified,0
1303420000,On maximum tolerated dose of medication for diabetes mellitus,unspecified,0
1303453005,No history of diabetes mellitus,unspecified,0
1306699009,Stable treated proliferative retinopathy due to diabetes mellitus (disorder),unspecified,0
1306700005,Stable treated proliferative retinopathy of both eyes due to diabetes mellitus,unspecified,0
1332436006,Hypertension in chronic kidney disease stage 3B due to type 1 diabetes mellitus,type 1,0
1332441003,Hypertension in chronic kidney disease stage 3A due to type 1 diabetes mellitus (disorder),type 1,0
1332442005,Hypertension in chronic kidney disease stage 3 due to type I diabetes mellitus,type 1,0
1332464001,Hypertension in chronic kidney disease stage 2 due to type 1 diabetes mellitus (disorder),type 1,0
1332465000,Hypertension in chronic kidney disease stage 3B due to type II diabetes mellitus,type 2,0
1332466004,Hypertension in chronic kidney disease stage 3A due to type 2 diabetes mellitus,type 2,0
1332467008,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,type 1,0
1332468003,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,type 1,0
1332469006,Chronic kidney disease stage 3B due to type II diabetes mellitus,type 2,0
1332470007,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,type 2,0
1332471006,Chronic kidney disease stage 3B due to type 1 diabetes mellitus,type 1,0
1332472004,Chronic kidney disease stage 3A due to type I diabetes mellitus,type 1,0
134389002,Diabetes care by hospital only,unspecified,0
134395001,Diabetic retinopathy screening,unspecified,0
1344906007,Diabetic peripheral neuropathy absent,unspecified,0
1354552000,Mild diabetic macular oedema,unspecified,0
1354553005,Moderate macular oedema due to diabetes mellitus,unspecified,0
1354554004,Severe diabetic macular oedema,unspecified,0
1362341000000103,Diabetes care plan,unspecified,0
1362751000000101,Diabetes Eating Problem Survey - Revised score (observable entity),unspecified,0
1362831000000102,Diabetes Eating Problem Survey - Revised (assessment scale),unspecified,0
1362911000000103,Assessment using Diabetes Eating Problem Survey - Revised (procedure),unspecified,0
1363101000000107,Problem Areas in Diabetes score,unspecified,0
1363131000000101,Problem Areas in Diabetes,unspecified,0
1363151000000108,Assessment using Problem Areas in Diabetes (procedure),unspecified,0
1363951000000106,Paediatric diabetes care plan,unspecified,0
1368271000000101,Problem Areas in Diabetes 11-item score,unspecified,0
1373391000000108,Problem Areas in Diabetes 11-item,unspecified,0
1373401000000106,Assessment using Problem Areas in Diabetes 11-item,unspecified,0
1373411000000108,Problem Areas in Diabetes 5-item (assessment scale),unspecified,0
1373421000000102,Problem Areas in Diabetes 5-item score,unspecified,0
1373431000000100,Assessment using Problem Areas in Diabetes 5-item,unspecified,0
1373441000000109,Problem Areas in Diabetes 1-item (assessment scale),unspecified,0
1373451000000107,Problem Areas in Diabetes 1-item score (observable entity),unspecified,0
1373461000000105,Assessment using Problem Areas in Diabetes 1-item,unspecified,0
1373471000000103,Diabetes Treatment Satisfaction Questionnaire change version score (observable entity),unspecified,0
1373481000000101,Assessment using Diabetes Treatment Satisfaction Questionnaire change version,unspecified,0
1373521000000101,Type 1 Diabetes Distress Scale,type 1,0
1373531000000104,Type 1 Diabetes Distress Scale total score,type 1,0
1373541000000108,Assessment using Type 1 Diabetes Distress Scale (procedure),type 1,0
1373551000000106,Type 1 Diabetes Distress Scale Powerlessness score,type 1,0
1373561000000109,Type 1 Diabetes Distress Scale Management Distress score (observable entity),type 1,0
1373571000000102,Type 1 Diabetes Distress Scale Hypoglycemia Distress score (observable entity),type 1,0
1373581000000100,Type 1 Diabetes Distress Scale Negative Social Perceptions score,type 1,0
1373591000000103,Type 1 Diabetes Distress Scale Eating Distress score (observable entity),type 1,0
1373601000000109,Type 1 Diabetes Distress Scale Physician Distress score,type 1,0
1373611000000106,Type 1 Diabetes Distress Scale Friend/Family Distress score (observable entity),type 1,0
1373991000000107,Diabetes management self-efficacy scale United Kingdom 15-item (assessment scale),unspecified,0
1374001000000102,Assessment using diabetes management self-efficacy scale United Kingdom 15-item (procedure),unspecified,0
1374011000000100,DMSES UK (diabetes management self-efficacy scale United Kingdom) 15-item score,unspecified,0
1374031000000108,Diabetes Distress Scale 17 item Emotional Burden score (observable entity),unspecified,0
1374041000000104,DDS17 (Diabetes Distress Scale 17 item) Physician Distress score,unspecified,0
1374051000000101,Diabetes Distress Scale 17 item Regimen Distress score (observable entity),unspecified,0
1374061000000103,DDS17 (Diabetes Distress Scale 17 item) Interpersonal Distress score,unspecified,0
137931000119102,Hyperlipidemia due to type 2 diabetes mellitus,type 2,0
137941000119106,Hyperlipidemia due to type 1 diabetes mellitus,type 1,0
138054001,Diabetic lipid lowering diet,unspecified,0
138055000,Diabetic weight reducing diet,unspecified,0
138058003,Diabetic diet,unspecified,0
138271008,(Relative: [with terminal illness] or [diabetic]) or (family illness NOS),unspecified,0
138409009,Diabetic association member,unspecified,0
138717002,H/O: diabetes mellitus,unspecified,0
138832004,H/O: Admission in last year for diabetes foot problem,unspecified,0
138881000119106,Mild nonproliferative retinopathy due to type 1 diabetes mellitus,type 1,0
138891000119109,Moderate nonproliferative retinopathy due to type 1 diabetes mellitus (disorder),type 1,0
138911000119106,Mild nonproliferative retinopathy due to type 2 diabetes mellitus,type 2,0
138921000119104,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus (disorder),type 2,0
140101000119109,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus,type 2,0
140111000119107,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus (disorder),type 2,0
140121000119100,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus,type 2,0
140131000119102,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus (disorder),type 2,0
140381000119104,Neuropathic toe ulcer due to type 2 diabetes mellitus (disorder),type 2,0
140391000119101,Ulcer of toe due to type 2 diabetes mellitus (disorder),type 2,0
140521000119107,Ischemic foot ulcer due to type 2 diabetes mellitus (disorder),type 2,0
140531000119105,Neuropathic foot ulcer due to type 2 diabetes mellitus (disorder),type 2,0
141196007,Retinal abnormality - diabetes-related,unspecified,0
141678002,O/E - Right diabetic foot at risk,unspecified,0
141679005,O/E - Left diabetic foot at risk,unspecified,0
141680008,Foot abnormality - diabetes-related,unspecified,0
142603005,Education score - diabetes,unspecified,0
142604004,Diabetes wellbeing questionnaire,unspecified,0
142605003,Diabetes treatment satisfaction questionnaire,unspecified,0
143085005,Hb. A1C - diabetic control NOS,unspecified,0
143127002,HbA1 - diabetic control,unspecified,0
143401000000102,QOF (Quality and Outcomes Framework) diabetes mellitus quality indicator-related care invitation using preferred method of communication,unspecified,0
143911000000105,Registration for access to online diabetes self-management application,unspecified,0
143941000000106,Declined to register for access to online diabetes self-management application (situation),unspecified,0
144202009,Glucose tol. test diabetic,unspecified,0
1454081000000100,Assessment using Diabetes Self Management Questionnaire (procedure),unspecified,0
1464321000000108,Diabetes Self Management Questionnaire,unspecified,0
1464331000000105,Diabetes Self Management Questionnaire total score (observable entity),unspecified,0
1464341000000101,Assessment using Diabetes Self Management Questionnaire - Revised,unspecified,0
1464351000000103,Diabetes Self Management Questionnaire - Revised,unspecified,0
1464361000000100,Diabetes Self Management Questionnaire - Revised 20-item total score,unspecified,0
1464381000000109,Diabetes Self Management Questionnaire Eating Behaviour score (observable entity),unspecified,0
1464391000000106,Diabetes Self Management Questionnaire Physical Activity score,unspecified,0
1464401000000109,Diabetes Self Management Questionnaire Cooperation with diabetes team score,unspecified,0
1464411000000106,Diabetes Self Management Questionnaire Glucose Monitoring score,unspecified,0
1464421000000100,Diabetes Self Management Questionnaire - Revised Cooperation with diabetes team score (observable entity),unspecified,0
1464431000000103,Diabetes Self Management Questionnaire - Revised Eating Behaviour score (observable entity),unspecified,0
1464441000000107,Diabetes Self Management Questionnaire - Revised Physical Activity score (observable entity),unspecified,0
1464451000000105,Diabetes Self Management Questionnaire - Revised Glucose Monitoring score,unspecified,0
1464461000000108,Diabetes Self Management Questionnaire - Revised Medication Taking score (observable entity),unspecified,0
1465141000000104,Diabetes Self Management Questionnaire Medication Taking score,unspecified,0
1465281000000101,Diabetes Self Management Questionnaire - Revised 27-item total score (observable entity),unspecified,0
147975007,Diabetic monitoring (& [clinic]),unspecified,0
147976008,Initial diabetic assessment,unspecified,0
147977004,Follow-up diabetic assessment,unspecified,0
147978009,Diabetic on diet only,unspecified,0
147979001,Diabetic on oral treatment,unspecified,0
147980003,Diabetic on insulin,unspecified,0
147983001,Has seen dietitian - diabetes,unspecified,0
147984007,Understands diet - diabetes,unspecified,0
147985008,Injection sites (& diabetic),unspecified,0
147988005,Fundoscopy - diabetic check,unspecified,0
147991005,Diabetic drug side effects,unspecified,0
147992003,Diabetic treatment changed (& [date]),unspecified,0
147993008,Diabetic - good control,unspecified,0
147994002,Diabetic - poor control (& [unstable]),unspecified,0
147995001,Diabetic - cooperative patient,unspecified,0
147996000,Diabetic-uncooperative patient,unspecified,0
147997009,Diabetic - follow-up default,unspecified,0
147998004,Date diabetic treatment start,unspecified,0
147999007,Date diabetic treatment stopped,unspecified,0
148000001,Diabetes: practice programme,unspecified,0
148001002,Diabetes: shared care program,unspecified,0
148002009,Diabetes management plan given,unspecified,0
148003004,Diabetic annual review,unspecified,0
148004005,Annual diabetic blood test,unspecified,0
148005006,Diabetic monitoring NOS,unspecified,0
1481000119100,Diabetes mellitus type 2 without retinopathy,type 2,1
1491000119102,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,type 2,0
1501000119109,Proliferative diabetic retinopathy associated with type II diabetes mellitus,type 2,0
1511000119107,Diabetic peripheral neuropathy associated with type II diabetes mellitus,type 2,0
151107002,Diabetic crisis monitoring,unspecified,0
151108007,Diabetic stabilization,unspecified,0
151368001,Diabetic leaflet given,unspecified,0
151709009,Admit diabetic emergency,unspecified,0
151742005,Non-urgent diabetic admission,unspecified,0
151766004,Referral to diabetologist,unspecified,0
151821003,Refer diabetic liaison nurse,unspecified,0
151850005,Referral to diabetes nurse,unspecified,0
151952003,Diabetology domiciliary visit requested,unspecified,0
151981002,Diabetology D.V. done,unspecified,0
152011007,Listed for Diabetology admissn,unspecified,0
1521000119100,Diabetic foot ulcer associated with type 2 diabetes mellitus,type 2,0
152138003,Private referral to diabetologist,unspecified,0
1531000119102,Diabetic dermopathy associated with diabetes mellitus type 2,type 2,0
153432003,Seen in diabetic clinic,unspecified,0
153461002,Seen in diabetic eye clinic,unspecified,0
153683009,Attending diabetes clinic,unspecified,0
153931004,Diabetes administration: [monitoring] or [clinic],unspecified,0
153932006,Attends diabetes monitoring,unspecified,0
153933001,Refuses diabetes monitoring,unspecified,0
153934007,Diabetes monitoring default,unspecified,0
153935008,Diabetes monitoring first letter,unspecified,0
153936009,Diabetes monitoring second letter,unspecified,0
153937000,Diabetes monitoring third letter,unspecified,0
153938005,Diabetes monitoring verbal invite,unspecified,0
153939002,Diabetes monitoring telephone invite,unspecified,0
153940000,Diabetes monitoring deleted,unspecified,0
153941001,Diabetes monitored (& check done),unspecified,0
153942008,Diabetes monitoring admin.NOS,unspecified,0
1541000119106,Diabetic skin ulcer associated with type 2 diabetes mellitus,type 2,0
154671004,Diabetes mellitus (& [ketoacidosis]),unspecified,0
154672006,Diabetes mellitus: [adult onset] or [noninsulin dependent],type 2,0
154673001,Diabetes mellitus: [juvenile] or [insulin dependent],type 1,0
154674007,Diabetes mellitus with no mention of complication,unspecified,0
154675008,Diabetes with ketoacidosis - no coma,unspecified,0
154676009,Diabetic coma,unspecified,0
154678005,Diabetes + eye manifestation (& [cataract] or [retinopathy]),unspecified,0
154679002,Proliferative diabetic retinopathy,unspecified,0
154680004,Background diabetic retinopathy,unspecified,0
154681000,Preproliferative diabetic retinopathy,unspecified,0
154682007,Diabetic maculopathy,unspecified,0
154683002,Diabetes + neuropathy (& [amyotrophy]),unspecified,0
154684008,Diabetic mononeuritis multiplex,unspecified,0
154685009,Diabetic mononeuritis NOS,unspecified,0
154686005,Acute painful diabetic neuropathy,unspecified,0
154687001,Diabetes: [peripheral circulatory disease] or [gangrene],unspecified,0
154688006,Insulin-treated non-insulin-dependent diabetes mellitus,type 2,0
154689003,Diabetes with other complications,unspecified,0
1551000119108,Nonproliferative diabetic retinopathy associated with type II diabetes mellitus,type 2,0
155107006,Diabetic retinopathy,unspecified,0
155114008,Advanced diabetic retinal disease,unspecified,0
155129005,(Secondary cataract) or (diabetic cataract),unspecified,0
1561000119105,Diabetic peripheral neuropathy associated with type I diabetes mellitus,type 1,0
156138000,Diabetes mellitus during pregnancy childbirth and the puerperium,unspecified,0
1571000119104,Mixed hyperlipidemia associated with type 1 diabetes mellitus (disorder),type 1,0
157141000119108,Proteinuria due to type 2 diabetes mellitus,type 2,0
157143001,Perinatal endocrine &/or metabolic problem (& [diabetes]),unspecified,0
158025001,Adverse reaction to insulins and antidiabetic agents,unspecified,0
15936501000119100,Inflammatory dermatosis due to type 2 diabetes mellitus (disorder),type 2,0
1597671000000104,National Health Service diabetic eye screening programme (regime/therapy),unspecified,0
1597691000000100,Diabetic digital retinal screening image quality ungradable,unspecified,0
1597711000000103,Diabetic digital retinal screening image quality of left eye ungradable,unspecified,0
1597721000000109,Diabetic digital retinal screening image quality of right eye ungradable,unspecified,0
1597731000000106,Diabetic digital retinal screening image quality of bilateral eyes inadequate for grading (finding),unspecified,0
160666004,Diabetic lipid lowering diet,unspecified,0
160667008,Diabetic weight reducing diet,unspecified,0
160670007,DD - Diabetic diet,unspecified,0
161102006,Diabetic association member,unspecified,0
161445009,H/O: diabetes mellitus,unspecified,0
161564001,H/O: Admission in last year for diabetes foot problem,unspecified,0
162661000,Diabetes resolved,unspecified,0
163997001,Retinal abnormality - diabetes-related,unspecified,0
164483006,Foot abnormality - diabetes-related,unspecified,0
164491000000101,Diabetes resolved,unspecified,0
164493004,O/E - Right diabetic foot at risk,unspecified,0
164494005,O/E - Left diabetic foot at risk,unspecified,0
164495006,Foot abnormality - diabetes-related,unspecified,0
164881000119109,Foot ulcer due to type 1 diabetes mellitus (disorder),type 1,0
164971000119101,Type 2 diabetes mellitus controlled by diet (finding),type 2,0
165204006,Education score - diabetes,unspecified,0
165205007,Diabetes wellbeing questionnaire,unspecified,0
165206008,Diabetes treatment satisfaction questionnaire,unspecified,0
165683005,Hb. A1C - diabetic control NOS,unspecified,0
165723000,HbA1 - diabetic control,unspecified,0
166928007,Glucose tol. test diabetic,unspecified,0
16697421000119103,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 1,type 1,0
16697471000119102,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),type 1,0
16697521000119104,Moderate nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),type 1,0
167251000000103,O/E - right eye stable treated proliferative diabetic retinopathy,unspecified,0
167261000000100,O/E - left eye stable treated proliferative diabetic retinopathy,unspecified,0
167361000000109,O/E - right chronic diabetic foot ulcer,unspecified,0
167371000000102,O/E - left chronic diabetic foot ulcer,unspecified,0
16745051000119107,Nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),type 2,0
16745131000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2,0
16745211000119100,Nonproliferative retinopathy of left eye due to diabetes mellitus type 1,type 1,0
16745411000119104,Mild nonproliferative retinopathy of both eyes due to diabetes mellitus type 1,type 1,0
16745531000119108,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2,0
16745611000119102,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 1,type 1,0
16745651000119101,Mild nonproliferative retinopathy of right eye due to diabetes mellitus type 2,type 2,0
16745891000119105,Mild nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),type 1,0
16745931000119102,Mild nonproliferative retinopathy of both eyes due to diabetes mellitus type 2,type 2,0
16746131000119105,Moderate nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2,0
16746261000119108,Moderate nonproliferative retinopathy of right eye due to diabetes mellitus type 2,type 2,0
16746341000119103,Moderate nonproliferative retinopathy of both eyes due to diabetes mellitus type 2,type 2,0
16746661000119106,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1,type 1,0
16746741000119102,Nonproliferative retinopathy of right eye due to diabetes mellitus type 1 (disorder),type 1,0
16746901000119101,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 2 (disorder),type 2,0
16746941000119104,Severe nonproliferative retinopathy of left eye due to diabetes mellitus type 1 (disorder),type 1,0
16747021000119109,Bilateral severe nonproliferative retinopathy of eyes due to diabetes mellitus type 2,type 2,0
16747101000119101,Severe nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 1 (disorder),type 1,0
16747141000119104,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 2 (disorder),type 2,0
16747341000119101,Severe nonproliferative retinopathy of right eye due to diabetes mellitus type 1,type 1,0
16747661000119109,Nonproliferative retinopathy of bilateral eyes due to diabetes mellitus type 2,type 2,0
